Date,Close,Volume
11/12/2020,4.6,3911648
14/12/2020,4.54,2703870
15/12/2020,3.85,15955376
16/12/2020,3.77,3664940
17/12/2020,3.77,0
18/12/2020,2.41,62676244
21/12/2020,2.3,12741146
22/12/2020,2.17,12332024
23/12/2020,2.37,12648878
24/12/2020,2.32,5318879
29/12/2020,2.31,3697806
30/12/2020,2.25,3819468
31/12/2020,2.25,2265325
4/01/2021,2.31,3606673
5/01/2021,2.3,3215061
6/01/2021,2.26,3150461
7/01/2021,2.26,2230743
8/01/2021,2.24,4234836
11/01/2021,2.56,17419640
12/01/2021,2.6,16541364
13/01/2021,2.44,8204246
14/01/2021,2.52,4856007
15/01/2021,2.45,2948383
18/01/2021,2.47,2142838
19/01/2021,2.56,3650967
20/01/2021,2.47,4505057
21/01/2021,2.46,2576896
22/01/2021,2.43,2708646
25/01/2021,2.41,1963235
27/01/2021,2.39,2995194
28/01/2021,2.32,2982192
29/01/2021,2.38,5853138
1/02/2021,2.52,6118456
2/02/2021,2.49,3508415
3/02/2021,2.54,4908011
4/02/2021,2.45,2640667
5/02/2021,2.53,3417330
8/02/2021,2.64,3840797
9/02/2021,2.56,3554787
10/02/2021,2.56,2629930
11/02/2021,2.6,12417551
12/02/2021,2.59,5031672
15/02/2021,2.66,3400849
16/02/2021,2.65,3038082
17/02/2021,2.65,3101627
18/02/2021,2.6,2552277
19/02/2021,2.6,2718556
22/02/2021,2.6,2196921
23/02/2021,2.64,2298122
24/02/2021,2.54,2083358
25/02/2021,2.46,2223699
26/02/2021,2.46,0
1/03/2021,2.46,0
2/03/2021,2.34,9614699
3/03/2021,2.37,3732560
4/03/2021,2.37,2778874
5/03/2021,2.32,3640074
8/03/2021,2.26,2468619
9/03/2021,2.2,6745853
10/03/2021,2.26,2935154
11/03/2021,2.27,2984538
12/03/2021,2.35,2584719
15/03/2021,2.44,1933075
16/03/2021,2.51,3525606
17/03/2021,2.46,1838702
18/03/2021,2.41,1635149
19/03/2021,2.42,2564424
22/03/2021,2.43,1174267
23/03/2021,2.47,2191382
24/03/2021,2.39,1811617
25/03/2021,2.33,1702492
26/03/2021,2.28,2531376
29/03/2021,2.22,1689052
30/03/2021,2.16,2577457
